region,HDS_cell_no,richness,avg_QDS_richness,avg_QDS_turnover,rank
SWAFR,cell_433,310,763,0.6522039876972966,genus
SWAFR,cell_434,245,551.25,0.7488031641167833,genus
SWAFR,cell_435,251,500,0.7540072187160682,genus
SWAFR,cell_436,245,753.5,0.6076743616612416,genus
SWAFR,cell_437,145,204,0.7382310184093466,genus
SWAFR,cell_438,69,227,NaN,genus
SWAFR,cell_441,24,47,NaN,genus
SWAFR,cell_442,26,33,0.8461538461538461,genus
SWAFR,cell_448,37,40,0.9459459459459459,genus
SWAFR,cell_449,84,324,NaN,genus
SWAFR,cell_458,497,2036,0.45351204039728593,genus
SWAFR,cell_459,345,978.5,0.5467538461141144,genus
SWAFR,cell_460,289,678,0.6393642423894718,genus
SWAFR,cell_461,379,1499.75,0.5269343271158335,genus
SWAFR,cell_462,306,824.25,0.6144642083483174,genus
SWAFR,cell_463,309,757.25,0.6743431396007213,genus
SWAFR,cell_464,220,522.75,0.6387383055304859,genus
SWAFR,cell_465,232,568.75,0.6567905268307794,genus
SWAFR,cell_466,200,497.5,0.6482786449882513,genus
SWAFR,cell_467,155,277.5,0.7293419393376253,genus
SWAFR,cell_468,163,410.75,0.7000720439593497,genus
SWAFR,cell_469,232,656.25,0.7111025015438746,genus
SWAFR,cell_470,192,680,0.7363788233809062,genus
SWAFR,cell_471,33,17.5,0.877105762594893,genus
SWAFR,cell_472,59,35.5,0.936970602586821,genus
SWAFR,cell_473,69,201,NaN,genus
SWAFR,cell_475,9,8.5,1,genus
SWAFR,cell_476,68,95,0.8235294117647058,genus
SWAFR,cell_477,46,157,NaN,genus
SWAFR,cell_488,540,1961.6666666666667,0.4661173644512763,genus
SWAFR,cell_489,337,1121.75,0.4512966601770701,genus
SWAFR,cell_490,289,539.75,0.6489438554784851,genus
SWAFR,cell_491,363,895,0.6002792681481148,genus
SWAFR,cell_492,247,467,0.6826151282009384,genus
SWAFR,cell_493,322,1346.25,0.6192482785337319,genus
SWAFR,cell_494,268,908.25,0.5972837561870193,genus
SWAFR,cell_495,271,875,0.6211926078935289,genus
SWAFR,cell_496,305,1508,0.4881018410745752,genus
SWAFR,cell_497,237,688.5,0.6833806026164094,genus
SWAFR,cell_498,169,342,0.6444251570535591,genus
SWAFR,cell_499,196,449.25,0.7333370878181522,genus
SWAFR,cell_500,244,941.5,0.5893445825419872,genus
SWAFR,cell_501,262,703.25,0.6832265496813861,genus
SWAFR,cell_502,193,310.5,0.7592012523042937,genus
SWAFR,cell_503,304,1054,0.6804009088319382,genus
SWAFR,cell_504,95,96.66666666666667,0.8995498122656248,genus
SWAFR,cell_505,15,23,NaN,genus
SWAFR,cell_517,495,2849.6666666666665,0.4838280373950117,genus
SWAFR,cell_518,501,2149.5,0.49888242450167863,genus
SWAFR,cell_519,416,968.75,0.5639516101523002,genus
SWAFR,cell_520,359,795.5,0.5669142930464404,genus
SWAFR,cell_521,304,727,0.6115638031734979,genus
SWAFR,cell_522,246,411.5,0.700234972400399,genus
SWAFR,cell_523,286,796.25,0.6386874197124681,genus
SWAFR,cell_524,285,716.25,0.672872876968746,genus
SWAFR,cell_525,282,778,0.641950569427101,genus
SWAFR,cell_526,348,1510,0.5570692050031214,genus
SWAFR,cell_527,410,3754.75,0.5314020539774971,genus
SWAFR,cell_528,256,887.3333333333334,0.5781352956556484,genus
SWAFR,cell_529,242,913,0.49173553719008267,genus
SWAFR,cell_530,383,1423,0.5911378894721427,genus
SWAFR,cell_531,307,1160.5,0.5855453199774014,genus
SWAFR,cell_532,295,939.75,0.5376008793594929,genus
SWAFR,cell_533,275,643,0.6362285777334413,genus
SWAFR,cell_534,142,479.5,0.7323943661971831,genus
SWAFR,cell_547,414,3087.5,0.48792270531400966,genus
SWAFR,cell_548,338,1144,0.5248129085506291,genus
SWAFR,cell_549,482,1683,0.4834168850364119,genus
SWAFR,cell_550,383,1055.25,0.5226289947264475,genus
SWAFR,cell_551,300,573.25,0.6264325693377716,genus
SWAFR,cell_552,395,2483.75,0.5926743580675818,genus
SWAFR,cell_553,404,2677.25,0.5924185600691187,genus
SWAFR,cell_554,359,1275.5,0.5743853768081455,genus
SWAFR,cell_555,362,1697.25,0.5423629770262183,genus
SWAFR,cell_578,200,698,NaN,genus
SWAFR,cell_579,330,1297.6666666666667,0.4684515562812715,genus
SWAFR,cell_580,409,2730.25,0.45274393044346717,genus
SWAFR,cell_581,448,2016.5,0.534962136742184,genus
SWAFR,cell_582,516,3682.75,0.4570856583932504,genus
SWAFR,cell_583,430,2324.25,0.5276076539342696,genus
SWAFR,cell_584,227,2035,NaN,genus
SWAFR,cell_612,309,1972,NaN,genus
GCFR,cell_63,69,1307,NaN,family
GCFR,cell_92,53,324,0.5094339622641509,family
GCFR,cell_93,67,497,0.3548050021909866,family
GCFR,cell_122,23,197,NaN,family
GCFR,cell_123,60,274.5,0.5799052434469101,family
GCFR,cell_124,64,623.5,0.4088536426954506,family
GCFR,cell_153,60,325,0.45714893402146584,family
GCFR,cell_154,77,1258.5,0.2740578502039046,family
GCFR,cell_155,33,78.5,0.7272727272727273,family
GCFR,cell_183,61,779.5,0.29508196721311475,family
GCFR,cell_184,76,855.75,0.45309648082295273,family
GCFR,cell_185,79,560.5,0.5138834569955851,family
GCFR,cell_186,11,15,0.7272727272727273,family
